"Code_UAI","Code_INSEE","Code_EPCI","Nom_EPCI","Nom_Ecole","Type_Patrimoine","Proprietaire_FFO_Forme","Proprietaire_FFO_Denomination","Commune","Surface_M2","Annee_Construction","Statut_DPE","Annee_DPE","Classe_DPE","Conso_Annuelle_kWh","Conso_Specifique_kWh_M2","Facture_Annuelle_Euros","Economie_Annuelle_Euros","Economie_Realiste_Euros","Economie_Plancher_66pct_Euros","Modele_Financement","CAPEX_Total","CAPEX_HT_Euros","Subventions_Etat_Euros","Subventions_Pessimiste_Euros","Subventions_Optimiste_Euros","Subventions_Fourchette_Label","CEE_Euros","Part_Fonds_Euros","Part_Fonds_Pessimiste_Euros","Part_Fonds_Optimiste_Euros","Pack_CAPEX_Total","Pack_Gain_Net_Pessimiste_Total","Financement_Statut","Statut_Projet_EPCI","Package_ID","Argumentaire_Loi_ELAN","Argumentaire_MGPE_PD","MGPE_Loyer_Lt_Euros","MGPE_Redevance_Ft_Euros","MGPE_Part_Services_St_Euros","MGPE_Duree_Contrat_Ans","Gain_Net_Contractuel_Euros","Gain_Net_Annuel_Mairie_Euros","Gain_Net_Pessimiste_Euros","Gain_Net_Optimiste_Euros","Gain_Net_Fourchette_Label","Gain_Net_Plancher_66pct_Euros","Fonds_ROI_Annees","Fonds_ROI_Pessimiste_Annees","Fonds_ROI_Optimiste_Annees","Fonds_ROI_Fourchette_Label","Taux_Subvention_Pessimiste_Pct","Taux_Eco_Realiste_Pessimiste_Pct","Ratio_PAC_W_M2","Alerte_Surdimensionnement","Alerte_Surdimensionnement_Note","Score_Eligibilite_Closing","Closing_Temperature","Alerte_Financement","Email_Mairie","Artisan_Nom","Artisan_Distance_KM","Artisan_Email","Artisan_Tranche_Effectif","Artisan_Effectif_Label","Artisan_Effectif_Min","Type_Travaux","Puissance_PAC_kW","Ouvriers_Requis","Duree_Estimee_Semaines","Periode_Ideale_Chantier","Latitude","Longitude"
"0070889D","07102","200041366","200041366","Ecole maternelle Le Vivarais","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Guilherand-Granges","1602","1969","D (308 kWh/m²/an)","2021","D","493416","308","109489","49270","34489",,"fourchette","288360","240300","129762","129762","192240","129 762 € à 192 240 €","1384","157214","157214","94736","1932360","49423","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041366","En tant que propriétaire du groupe scolaire Ecole maternelle Le Vivarais, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1602 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Guilherand-Granges (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1602 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 23 960 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 129 762 € à 192 240 €. Gain net annuel mairie (fourchette) : 9 039 € à 19 650 €/an. ROI part fonds (fourchette) : 4.8 à 17.4 ans.","25450","18241","7209","12","23820","9039","9039","19650","9 039 € à 19 650 €/an","7068","17.4","17.4","4.8","4.8 à 17.4 ans","45","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","64","⚡ Tiède","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","contact@guilherand-granges.fr;etat-civil@guilherand-granges.fr","TEC.2E","6.2","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Lourde","128","6","11","Été 2026 + Automne 2026","44.9367551389836","4.877500134250664"
"0070899P","07281","200041366","200041366","Ecole maternelle Brémondières","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Saint-Péray","1848","1970","D (334 kWh/m²/an)","2021","D","617121","333.94","136939","61623","43136",,"fourchette","332640","277200","149688","149688","221760","149 688 € à 221 760 €","1597","181355","181355","109283","1932360","49423","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041366","En tant que propriétaire du groupe scolaire Ecole maternelle Brémondières, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1848 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Saint-Péray (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1848 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 27 640 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 149 688 € à 221 760 €. Gain net annuel mairie (fourchette) : 13 778 € à 26 257 €/an. ROI part fonds (fourchette) : 4.2 à 13.2 ans.","29358","21042","8316","12","32265","13778","13778","26257","13 778 € à 26 257 €/an","11313","13.2","13.2","4.2","4.2 à 13.2 ans","45","70","80.1","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","68","⚡ Tiède","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","secretariatgeneral@st-peray.com","TEC.2E","8.7","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Lourde","148","6","13","Été 2026 + Automne 2026","44.94864603030289","4.846359856915063"
"0071204W","07070","200041366","200041366","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Cornas","1601","1885","D (220 kWh/m²/an)","2021","D","352220","220","78158","35171","24620",,"fourchette","288180","240150","187317","187317","192120","187 317 € à 192 120 €","1383","99480","99480","94677","1932360","49423","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041366","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1601 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Cornas (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1601 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 17 804 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 187 317 € à 192 120 €. Gain net annuel mairie (fourchette) : 5 872 € à 9 085 €/an. ROI part fonds (fourchette) : 10.4 à 16.9 ans.","18748","11543","7205","12","16423","5872","5872","9085","5 872 € à 9 085 €/an","4465","16.9","16.9","10.4","10.4 à 16.9 ans","65","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","60","⚡ Tiède","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@cornas.fr","TEC.2E","9.8","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Lourde","128","6","11","Été 2026 + Automne 2026","44.96081767182712","4.8470703128131545"
"0071210C","07186","200071413","200071413","Ecole Elémentaire Application Rosa Parks","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Privas","1652","1977","G (220 kWh/m²/an)","2015","G","363440","220","80647","36291","19960",,"fourchette","198240","165200","99120","99120","132160","99 120 € à 132 160 €","872","98248","98248","65208","869760","10814","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200071413","En tant que propriétaire du groupe scolaire Ecole Elémentaire Application Rosa Parks, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1652 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Privas (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1652 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 15 425 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 99 120 € à 132 160 €. Gain net annuel mairie (fourchette) : 3 604 € à 15 314 €/an. ROI part fonds (fourchette) : 4.3 à 27.3 ans.","16356","11400","4956","12","19935","3604","3604","15314","3 604 € à 15 314 €/an","7596","27.3","27.3","4.3","4.3 à 27.3 ans","50","55","79.9","false",,"61","⚡ Tiède",,"mairie@privas.fr","LARGIER TECHNOLOGIE","19.4","contact@largier-technologie.fr","12","20 à 49 salariés","20","Rénovation Moyenne","132","6","8","Été 2026 + Automne 2026","44.72554372505683","4.593369702401478"
"0070350T","07346","240700864","240700864","Ecole maternelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Viviers","1267","1800","D (218 kWh/m²/an)","2019","D","275877","217.74","61217","27548","19284",,"fourchette","228060","190050","102627","102627","152040","102 627 € à 152 040 €","1095","124338","124338","74925","681900","838","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-240700864","En tant que propriétaire du groupe scolaire Ecole maternelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1267 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Viviers (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1267 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 18 950 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 102 627 € à 152 040 €. Gain net annuel mairie (fourchette) : -845 € à 6 976 €/an. ROI part fonds (fourchette) : — à 10.7 ans.","20129","14427","5702","12","7419","-845","-845","6976","-845 € à 6 976 €/an","-1947",,,"10.7","— à 10.7 ans","45","70","79.7","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.7 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","48","❄ Froid","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.7 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","etatcivil@mairie-viviers.fr","ETS FOUREL","17.6","contact@ets-fourel.com","11","10 à 19 salariés","10","Rénovation Lourde","101","6","9","Été 2026 + Automne 2026","44.48598234111981","4.684260117194608"
"0071110U","07042","240700864","240700864","Ecole élémentaire René Cassin","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Bourg-Saint-Andéol","1546","1960","F (220 kWh/m²/an)","2018","F","340120","220","75473","33963","23774",,"fourchette","278280","231900","139140","139140","185520","139 140 € à 185 520 €","1336","137804","137804","91424","681900","838","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-240700864","En tant que propriétaire du groupe scolaire Ecole élémentaire René Cassin, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1546 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Bourg-Saint-Andéol (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1546 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 21 640 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 139 140 € à 185 520 €. Gain net annuel mairie (fourchette) : 828 € à 8 774 €/an. ROI part fonds (fourchette) : 10.4 à 166.4 ans.","22946","15989","6957","12","11017","828","828","8774","828 € à 8 774 €/an","-530","166.4","166.4","10.4","10.4 à 166.4 ans","50","70","80.2","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.2 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","51","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.2 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal",,"ETS FOUREL","29.8","contact@ets-fourel.com","11","10 à 19 salariés","10","Rénovation Lourde","124","6","11","Été 2026 + Automne 2026","44.372106432311","4.646269645569202"
"0071184Z","07102","200041366","200041366","Ecole primaire le Provence","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Guilherand-Granges","2663","0","E (257 kWh/m²/an)","2017","E","685616","257.46","152138","68462","37654",,"fourchette","319560","266300","143802","143802","213040","143 802 € à 213 040 €","1406","174352","174352","105114","1932360","49423","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041366","En tant que propriétaire du groupe scolaire Ecole primaire le Provence, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2663 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Guilherand-Granges (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2663 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 26 567 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 143 802 € à 213 040 €. Gain net annuel mairie (fourchette) : 9 435 € à 32 158 €/an. ROI part fonds (fourchette) : 3.3 à 18.5 ans.","28219","20230","7989","12","40243","9435","9435","32158","9 435 € à 32 158 €/an","16966","18.5","18.5","3.3","3.3 à 18.5 ans","45","55","80","false",,"71","⚡ Tiède",,"contact@guilherand-granges.fr;etat-civil@guilherand-granges.fr","TEC.2E","5.5","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Moyenne","213","12","6","Été 2026 + Automne 2026","44.92767402965057","4.874740463312155"
"0070765U","07102","200041366","200041366","Ecole maternelle Le Mazet","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Guilherand-Granges","2308","1965","E (220 kWh/m²/an)",,"Estimé","507760","220","112672","50702","35491",,"fourchette","415440","346200","186948","186948","276960","186 948 € à 276 960 €","1994","226498","226498","136486","1932360","49423","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041366","En tant que propriétaire du groupe scolaire Ecole maternelle Le Mazet, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2308 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Guilherand-Granges (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2308 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 34 520 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 186 948 € à 276 960 €. Gain net annuel mairie (fourchette) : -1 175 € à 13 098 €/an. ROI part fonds (fourchette) : — à 10.4 ans.","36666","26280","10386","12","14036","-1175","-1175","13098","-1 175 € à 13 098 €/an","-3203",,,"10.4","— à 10.4 ans","45","70","80.2","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.2 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","60","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.2 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","contact@guilherand-granges.fr;etat-civil@guilherand-granges.fr","TEC.2E","6.6","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Lourde","185","12","8","Été 2026 + Automne 2026","44.93787192246284","4.871410565430338"
"0071111V","07070","200041366","200041366","Ecole élémentaire","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Cornas","1601","1885","E (279 kWh/m²/an)","2020","E","446679","279","99118","44603","31222",,"fourchette","288180","240150","187317","187317","192120","187 317 € à 192 120 €","1383","99480","99480","94677","1932360","49423","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200041366","En tant que propriétaire du groupe scolaire Ecole élémentaire, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1601 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Cornas (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1601 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 17 804 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 187 317 € à 192 120 €. Gain net annuel mairie (fourchette) : 12 474 € à 16 159 €/an. ROI part fonds (fourchette) : 5.9 à 8 ans.","18748","11543","7205","12","25855","12474","12474","16159","12 474 € à 16 159 €/an","10690","8","8","5.9","5.9 à 8 ans","65","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","73","⚡ Tiède","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@cornas.fr","TEC.2E","9.8","tec2e@tec2e.fr","12","20 à 49 salariés","20","Rénovation Lourde","128","6","11","Été 2026 + Automne 2026","44.96114960663371","4.847690137569115"
"0071432U","07186","200071413","200071413","Ecole Elémentaire Roger Planchon","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Privas","2674","1880","D (220 kWh/m²/an)","2021","D","588280","220","130539","58743","41120",,"fourchette","481320","401100","216594","216594","320880","216 594 € à 320 880 €","2310","262416","262416","158130","869760","10814","PACK_FINANÇABLE_EPCI","SOUS_SEUIL_A_CREUSER","EPCI-200071413","En tant que propriétaire du groupe scolaire Ecole Elémentaire Roger Planchon, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2674 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Privas (07), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2674 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 39 994 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 216 594 € à 320 880 €. Gain net annuel mairie (fourchette) : -1 361 € à 15 175 €/an. ROI part fonds (fourchette) : — à 10.4 ans.","42481","30448","12033","12","16262","-1361","-1361","15175","-1 361 € à 15 175 €/an","-3711",,,"10.4","— à 10.4 ans","45","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","46","❄ Froid","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@privas.fr","VIGNAL ENERGIES","19.2","a.gey@vignal-electricite.com","12","20 à 49 salariés","20","Rénovation Lourde","214","12","10","Été 2026 + Automne 2026","44.73178482030925","4.593003200925476"
