"Code_UAI","Code_INSEE","Code_EPCI","Nom_EPCI","Nom_Ecole","Type_Patrimoine","Proprietaire_FFO_Forme","Proprietaire_FFO_Denomination","Commune","Surface_M2","Annee_Construction","Statut_DPE","Annee_DPE","Classe_DPE","Conso_Annuelle_kWh","Conso_Specifique_kWh_M2","Facture_Annuelle_Euros","Economie_Annuelle_Euros","Economie_Realiste_Euros","Economie_Plancher_66pct_Euros","Modele_Financement","CAPEX_Total","CAPEX_HT_Euros","Subventions_Etat_Euros","Subventions_Pessimiste_Euros","Subventions_Optimiste_Euros","Subventions_Fourchette_Label","CEE_Euros","Part_Fonds_Euros","Part_Fonds_Pessimiste_Euros","Part_Fonds_Optimiste_Euros","Pack_CAPEX_Total","Pack_Gain_Net_Pessimiste_Total","Financement_Statut","Statut_Projet_EPCI","Package_ID","Argumentaire_Loi_ELAN","Argumentaire_MGPE_PD","MGPE_Loyer_Lt_Euros","MGPE_Redevance_Ft_Euros","MGPE_Part_Services_St_Euros","MGPE_Duree_Contrat_Ans","Gain_Net_Contractuel_Euros","Gain_Net_Annuel_Mairie_Euros","Gain_Net_Pessimiste_Euros","Gain_Net_Optimiste_Euros","Gain_Net_Fourchette_Label","Gain_Net_Plancher_66pct_Euros","Fonds_ROI_Annees","Fonds_ROI_Pessimiste_Annees","Fonds_ROI_Optimiste_Annees","Fonds_ROI_Fourchette_Label","Taux_Subvention_Pessimiste_Pct","Taux_Eco_Realiste_Pessimiste_Pct","Ratio_PAC_W_M2","Alerte_Surdimensionnement","Alerte_Surdimensionnement_Note","Score_Eligibilite_Closing","Closing_Temperature","Alerte_Financement","Email_Mairie","Artisan_Nom","Artisan_Distance_KM","Artisan_Email","Artisan_Tranche_Effectif","Artisan_Effectif_Label","Artisan_Effectif_Min","Type_Travaux","Puissance_PAC_kW","Ouvriers_Requis","Duree_Estimee_Semaines","Periode_Ideale_Chantier","Latitude","Longitude"
"0382165X","38486","200040715","200040715","Ecole primaire Louis Armand","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Seyssins","1717","1972","F (220 kWh/m²/an)","2017","F","377740","220","83821","37719","26403",,"fourchette","309060","257550","154530","154530","206040","154 530 € à 206 040 €","1483","153047","153047","101537","5621580","86015","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200040715","En tant que propriétaire du groupe scolaire Ecole primaire Louis Armand, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1717 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Seyssins (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1717 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 24 034 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 154 530 € à 206 040 €. Gain net annuel mairie (fourchette) : 918 € à 9 743 €/an. ROI part fonds (fourchette) : 10.4 à 166.7 ans.","25485","17758","7727","12","12234","918","918","9743","918 € à 9 743 €/an","-590","166.7","166.7","10.4","10.4 à 166.7 ans","50","70","79.8","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.8 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","70","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.8 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","courrier@mairie-seyssins.fr","EOLYA","4.9","commerce@eolya.com","12","20 à 49 salariés","20","Rénovation Lourde","137","6","12","Été 2026 + Automne 2026","45.169750795915334","5.696270333541565"
"0382903Z","38140","200018166","200018166","Ecole primaire Belledonne","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Crolles","3300","1989","F (220 kWh/m²/an)","2018","F","726000","220","161099","72495","39872",,"fourchette","396000","330000","198000","198000","264000","198 000 € à 264 000 €","1742","196258","196258","130258","5826480","142246","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200018166","En tant que propriétaire du groupe scolaire Ecole primaire Belledonne, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3300 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Crolles (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3300 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 30 812 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 198 000 € à 264 000 €. Gain net annuel mairie (fourchette) : 7 200 € à 30 592 €/an. ROI part fonds (fourchette) : 4.3 à 27.3 ans.","32672","22772","9900","12","39823","7200","7200","30592","7 200 € à 30 592 €/an","15175","27.3","27.3","4.3","4.3 à 27.3 ans","50","55","80","false",,"76","🔥 Chaud",,"bienvenue@ville-crolles.fr","R CONFORT","5.3","secretariat@rconfort.com","21","50 à 99 salariés","50","Rénovation Moyenne","264","12","8","Été 2026 + Automne 2026","45.278146640502904","5.881239988594979"
"0383014V","38150","200040715","200040715","Ecole primaire Jean-Jacques Rousseau","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Domène","1887","1961","E (220 kWh/m²/an)",,"Estimé","415140","220","92120","41454","29018",,"fourchette","339660","283050","152847","152847","226440","152 847 € à 226 440 €","1630","185183","185183","111590","5621580","86015","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200040715","En tant que propriétaire du groupe scolaire Ecole primaire Jean-Jacques Rousseau, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1887 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Domène (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1887 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 28 223 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 152 847 € à 226 440 €. Gain net annuel mairie (fourchette) : -961 € à 10 709 €/an. ROI part fonds (fourchette) : — à 10.4 ans.","29979","21487","8492","12","11475","-961","-961","10709","-961 € à 10 709 €/an","-2619",,,"10.4","— à 10.4 ans","45","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","63","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","info@mairie-domene.fr","P.B.F PLOMBIERS - MIROITIERS","4.7","contact@pbf-alpes.fr","11","10 à 19 salariés","10","Rénovation Lourde","151","6","13","Été 2026 + Automne 2026","45.199228759879404","5.832320104927554"
"0383015W","38158","200040715","200040715","Ecole primaire Le Bourg","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Eybens","1728","1956","F (220 kWh/m²/an)","2020","F","380160","220","84358","37961","26573",,"fourchette","311040","259200","155520","155520","207360","155 520 € à 207 360 €","1493","154027","154027","102187","5621580","86015","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200040715","En tant que propriétaire du groupe scolaire Ecole primaire Le Bourg, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1728 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Eybens (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1728 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 24 188 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 155 520 € à 207 360 €. Gain net annuel mairie (fourchette) : 925 € à 9 807 €/an. ROI part fonds (fourchette) : 10.4 à 166.5 ans.","25648","17872","7776","12","12313","925","925","9807","925 € à 9 807 €/an","-594","166.5","166.5","10.4","10.4 à 166.5 ans","50","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","66","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","sg@eybens.fr","EOLYA","8.7","commerce@eolya.com","12","20 à 49 salariés","20","Rénovation Lourde","138","6","12","Été 2026 + Automne 2026","45.14974669047644","5.752000440020049"
"0383032P","38158","200040715","200040715","Ecole primaire Les Ruires","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Eybens","2661","0","E (322 kWh/m²/an)","2020","E","856842","322","190133","85560","47058",,"fourchette","319320","266100","143694","143694","212880","143 694 € à 212 880 €","1405","174221","174221","105035","5621580","86015","FINANÇABLE_SOLO","PROJET_GLOBAL_VALIDE","SOLO","En tant que propriétaire du groupe scolaire Ecole primaire Les Ruires, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2661 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Eybens (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2661 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 26 547 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 143 694 € à 212 880 €. Gain net annuel mairie (fourchette) : 18 860 € à 44 995 €/an. ROI part fonds (fourchette) : 2.3 à 9.2 ans.","28198","20215","7983","12","57362","18860","18860","44995","18 860 € à 44 995 €/an","28272","9.2","9.2","2.3","2.3 à 9.2 ans","45","55","80","false",,"78","🔥 Chaud",,"sg@eybens.fr","PIERRE STREIFF","8.6","contact@streiff.com","21","50 à 99 salariés","50","Rénovation Moyenne","213","12","6","Été 2026 + Automne 2026","45.14717669700518","5.74477977265141"
"0382248M","38565","243800984","243800984","Ecole primaire Debelle","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Voreppe","2385","1890","G (220 kWh/m²/an)","2019","G","524700","220","116431","52394","36676",,"fourchette","429300","357750","214650","214650","286200","214 650 € à 286 200 €","2061","212589","212589","141039","1691820","4381","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-243800984","En tant que propriétaire du groupe scolaire Ecole primaire Debelle, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 2385 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Voreppe (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (2385 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 33 384 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 214 650 € à 286 200 €. Gain net annuel mairie (fourchette) : 1 276 € à 13 535 €/an. ROI part fonds (fourchette) : 10.4 à 166.6 ans.","35400","24667","10733","12","16994","1276","1276","13535","1 276 € à 13 535 €/an","-820","166.6","166.6","10.4","10.4 à 166.6 ans","50","70","80.1","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","65","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80.1 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","voreppe@ville-voreppe.fr","PIERRE STREIFF","10.3","contact@streiff.com","21","50 à 99 salariés","50","Rénovation Lourde","191","12","9","Été 2026 + Automne 2026","45.2986738528016","5.635010210904528"
"0382319P","38314","200018166","200018166","Ecole primaire Christophe Borg","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Pontcharra","3314","0","F (220 kWh/m²/an)","2015","F","729080","220","161783","72802","40041",,"fourchette","397680","331400","198840","198840","265120","198 840 € à 265 120 €","1750","197090","197090","130810","5826480","142246","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200018166","En tant que propriétaire du groupe scolaire Ecole primaire Christophe Borg, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3314 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Pontcharra (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3314 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 30 942 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 198 840 € à 265 120 €. Gain net annuel mairie (fourchette) : 7 231 € à 30 722 €/an. ROI part fonds (fourchette) : 4.3 à 27.3 ans.","32810","22868","9942","12","39992","7231","7231","30722","7 231 € à 30 722 €/an","15239","27.3","27.3","4.3","4.3 à 27.3 ans","50","55","80","false",,"60","⚡ Tiède",,"courrier@pontcharra.fr","R CONFORT","26.1","secretariat@rconfort.com","21","50 à 99 salariés","50","Rénovation Moyenne","265","12","8","Été 2026 + Automne 2026","45.44105437464717","6.020169635907155"
"0382476K","38509","200068567","200068567","Ecole primaire Jean Rostand","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","La Tour-du-Pin","1622","0","E (220 kWh/m²/an)",,"Estimé","356840","220","79183","35632","19598",,"fourchette","194640","162200","87588","87588","129760","87 588 € à 129 760 €","856","106196","106196","64024","1079340","-92","À_REGROUPER","PROJET_GLOBAL_VALIDE","EPCI-200068567","En tant que propriétaire du groupe scolaire Ecole primaire Jean Rostand, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1622 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour La Tour-du-Pin (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1622 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 16 181 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 87 588 € à 129 760 €. Gain net annuel mairie (fourchette) : 2 410 € à 15 036 €/an. ROI part fonds (fourchette) : 4.3 à 44.1 ans.","17188","12322","4866","12","18444","2410","2410","15036","2 410 € à 15 036 €/an","6329","44.1","44.1","4.3","4.3 à 44.1 ans","45","55","80.1","false",,"58","⚡ Tiède",,"mairie@latourdupin.fr","REY FRERES SARL","15.1","reyfreresgestion@gmail.com","12","20 à 49 salariés","20","Rénovation Moyenne","130","6","8","Été 2026 + Automne 2026","45.57774085941891","5.442170376631779"
"0383101P","38509","200068567","200068567","Ecole primaire Thévenon","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","La Tour-du-Pin","3414","1966","E (220 kWh/m²/an)","2014","E","751080","220","166665","74999","52499",,"fourchette","614520","512100","276534","276534","409680","276 534 € à 409 680 €","2950","335036","335036","201890","1079340","-92","À_REGROUPER","PROJET_GLOBAL_VALIDE","EPCI-200068567","En tant que propriétaire du groupe scolaire Ecole primaire Thévenon, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 3414 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour La Tour-du-Pin (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (3414 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 51 062 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 276 534 € à 409 680 €. Gain net annuel mairie (fourchette) : -1 738 € à 19 374 €/an. ROI part fonds (fourchette) : — à 10.4 ans.","54237","38874","15363","12","20762","-1738","-1738","19374","-1 738 € à 19 374 €/an","-4738",,,"10.4","— à 10.4 ans","45","70","80","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","58","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 80 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","mairie@latourdupin.fr","ENTREPRISE GILLET","11.7","gillet@gilletsa.com","21","50 à 99 salariés","50","Rénovation Lourde","273","12","12","Été 2026 + Automne 2026","45.566780119388405","5.445499563349719"
"0380431M","38150","200040715","200040715","Ecole maternelle Gustave Rivet","Enseignement","ETAT","MINISTERE DE L'EDUCATION NATIONALE","Domène","1990","1960","G (220 kWh/m²/an)","2015","G","437800","220","97148","43717","30602",,"fourchette","358200","298500","179100","179100","238800","179 100 € à 238 800 €","1719","177381","177381","117681","5621580","86015","PACK_FINANÇABLE_EPCI","PROJET_GLOBAL_VALIDE","EPCI-200040715","En tant que propriétaire du groupe scolaire Ecole maternelle Gustave Rivet, votre collectivité est soumise aux obligations de l'article L. 111-10-3 du Code de la construction et de l'habitation (loi ELAN) et au Décret Tertiaire (objectif −40 % en 2030 pour les bâtiments ≥ 1 000 m²). Sans action d'ici 2030, le bâtiment de 1990 m² s'expose aux sanctions administratives et au dispositif de « Name & Shame ». Le montage MGPE-PD (Loi 2023-222) permet un paiement différé lissé sur la performance réelle, compatible avec DETR, DSIL et Fonds Vert ÉduRénov.","Pour Domène (38), le montage MGPE-PD (Loi n° 2023-222 du 30 mars 2023 / Décret n° 2023-913 du 3 octobre 2023) permet de lancer la rénovation de 1 école (1990 m²) sans immobiliser la capacité d'autofinancement : le tiers-financeur porte le CAPEX hors subventions, remboursé par un loyer lissé sur 12 ans (ordre de grandeur 27 855 €/an). Objectif GPE : −45 % d'énergie finale (compatible DETR ≥ 30 % et Fonds Vert ≥ 40 %). La maîtrise d'ouvrage reste publique ; le contrat intègre PMRV (IPMVP), pénalités de sous-performance et réversibilité des équipements. Subventions attendues (fourchette) : 179 100 € à 238 800 €. Gain net annuel mairie (fourchette) : 1 066 € à 11 294 €/an. ROI part fonds (fourchette) : 10.4 à 166.4 ans.","29536","20581","8955","12","14181","1066","1066","11294","1 066 € à 11 294 €/an","-683","166.4","166.4","10.4","10.4 à 166.4 ans","50","70","79.9","true","PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","71","⚡ Tiède","Risque sous-performance IPMVP : gain net mairie ≤ 0 au plancher 66 % (vérifier Lt et objectifs GPE) | PAC surdimensionnée pour bâtiment isolé (ITE) : 79.9 W/m² > 60 W/m² — revoir la note de dimensionnement CVC et le débit nominal","info@mairie-domene.fr","P.B.F PLOMBIERS - MIROITIERS","4.1","contact@pbf-alpes.fr","11","10 à 19 salariés","10","Rénovation Lourde","159","6","14","Été 2026 + Automne 2026","45.20251403037678","5.838980293017205"
